date,name,execution_score,monetization_score,skill_score,weighted_score,deliverable
2026-06-27,接单服务：商家客服话术知识库整理,82,86,76,81.4,服务报价与交付清单
2026-06-27,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-30,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-30,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-30,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-06-30,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-01,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-01,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-01,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-01,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-02,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-02,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-02,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-02,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-03,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-03,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-04,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-04,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-04,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-04,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-04,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-05,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-05,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-05,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-06,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-06,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-07,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-07,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-07,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-08,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-08,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-08,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-09,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-09,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-09,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-10,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-10,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-10,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-10,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-11,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-11,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-11,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-11,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-12,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-12,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-12,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-13,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-13,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-14,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-14,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-15,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-15,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-15,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-15,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-16,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-17,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-17,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-17,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-18,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-18,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-18,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-20,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-20,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-20,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-21,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-21,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-22,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-22,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-22,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-22,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-23,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-23,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-23,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-23,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-23,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-24,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-24,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-24,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-26,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-26,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-26,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-26,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-26,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-27,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-27,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-27,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-28,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
2026-07-29,Service offer: merchant customer-service knowledge base,82,86,76,81.4,service_offer_merchant_support_kb.md
